,,Close,Close,Open,Open,High,High,Low,Low
,,mean,max,mean,min,min,max,min,max
month,year,,,,,,,,
1,2014,76.77795923809524,79.622856,76.87156561904762,70.739998,71.647141,80.028572,70.507141,78.860001
1,2015,110.64150084999999,118.900002,111.1639995,106.540001,107.43,120.0,104.629997,116.849998
1,2016,98.42894615789476,105.349998,98.70631573684213,93.790001,94.519997,105.849998,92.389999,102.410004
1,2017,119.56999975000001,121.949997,119.0934994,115.800003,116.33000200000001,122.440002,114.760002,121.599998
1,2018,174.0052374761905,179.259995,174.0214277619047,165.529999,167.369995,180.100006,164.699997,178.25
2,2014,75.22571410526314,77.998573,75.1030072631579,71.80143000000001,72.53286,78.74143199999999,71.328575,77.944283
2,2015,125.43210478947367,133.0,125.02368289473684,118.050003,119.089996,133.600006,116.08000200000001,131.169998
2,2016,95.7464999,98.120003,95.69599955,93.129997,94.5,98.889999,92.589996,96.650002
2,2017,133.71420931578945,137.110001,133.23473763157895,127.029999,129.190002,137.479996,127.010002,136.699997
2,2018,167.6389472631579,178.970001,167.2763157368421,154.830002,157.889999,180.619995,150.240005,178.16000400000001
3,2013,64.05857107692307,66.225716,64.1141766923077,61.207142000000005,62.07143000000001,67.135712,60.765713,65.968575
3,2014,76.17346838095237,77.855713,76.22761871428571,74.774284,75.709999,78.428574,74.687141,77.084282
3,2015,125.97090836363635,129.360001,126.46636450000001,122.309998,124.699997,130.279999,121.629997,128.320007
3,2016,104.26727295454545,109.559998,103.81681863636364,97.650002,100.769997,110.41999799999999,97.41999799999999,108.879997
3,2017,140.61782630434783,144.119995,140.362174,137.889999,138.78999299999998,144.5,137.050003,143.5
3,2018,177.29625124999998,181.720001,176.641250625,172.800003,175.850006,182.389999,172.449997,180.21000700000002
4,2013,59.96642822727272,63.254284,59.96668786363636,55.424285999999995,57.085712,63.60714300000001,55.014286,61.724284999999995
4,2014,77.29632714285715,84.870003,77.15455847619047,74.007141,74.441429,85.632858,73.04714200000001,84.257141
4,2015,127.29142757142857,132.649994,127.53523871428573,124.470001,125.120003,134.53999299999998,123.099998,131.149994
4,2016,106.73904780952381,112.099998,106.78571461904762,93.989998,94.720001,112.389999,92.510002,111.33000200000001
4,2017,142.88684157894735,144.770004,143.03000115789476,141.220001,141.880005,145.46000700000002,140.059998,143.869995
5,2013,63.778961363636355,66.262856,63.77155836363635,60.462856,62.549999,66.535713,59.842856999999995,65.11571500000001
5,2014,86.17081742857143,90.76857,85.90027176190476,83.505714,83.75,92.024284,82.904289,89.842857
5,2015,128.76149974999998,132.53999299999998,128.70750080000002,124.769997,126.08000200000001,132.970001,123.360001,131.399994
5,2016,94.97476157142857,100.410004,94.95857190476192,90.0,91.66999799999999,100.730003,89.470001,99.25
5,2017,152.2277264090909,156.100006,151.96590836363634,145.100006,147.139999,156.649994,144.270004,155.050003
6,2013,60.79114265000002,64.388573,61.13742864999999,55.908573,57.181427,64.918571,55.552856000000006,63.912856999999995
6,2014,91.88544257142857,94.25,91.91265252380951,89.779999,90.690002,95.050003,88.928574,93.57
6,2015,127.80681745454544,130.53999299999998,128.01363581818183,125.459999,126.120003,131.389999,124.480003,130.050003
6,2016,96.62227277272729,99.650002,96.5886365909091,92.900002,93.050003,101.889999,91.5,98.959999
6,2017,147.83136195454546,155.449997,148.21500113636364,143.320007,144.479996,155.979996,142.199997,154.479996
7,2013,61.30818172727272,64.760002,61.179610181818205,57.527142000000005,58.895714,65.334282,57.317142000000004,64.204285
7,2014,95.62590850000002,99.019997,95.72909131818182,93.519997,94.059998,99.440002,92.57,98.25
7,2015,125.33545481818179,132.070007,125.45045463636365,121.940002,122.57,132.970001,119.220001,130.699997
7,2016,98.55649979999998,104.339996,98.45099945,94.599998,95.400002,104.550003,94.370003,103.68
7,2017,148.29949950000002,153.46000700000002,148.09650034999999,142.899994,143.5,153.990005,142.41000400000001,153.059998
8,2013,69.26337645454545,72.534286,69.15136377272728,65.10714,65.257141,73.391426,64.751427,72.0
8,2014,98.43666657142859,102.5,98.14952428571429,94.260002,94.82,102.900002,93.279999,102.199997
8,2015,113.39476233333332,119.720001,113.4395236190476,94.870003,108.800003,122.57,92.0,117.519997
8,2016,107.66521813043478,109.480003,107.46304360869563,104.410004,105.839996,110.230003,104.0,109.209999
8,2017,159.02130595652173,164.0,158.9469577826087,149.100006,150.220001,164.520004,148.41000400000001,163.479996
9,2013,68.59778555000001,72.309998,68.9675,63.994285999999995,65.672859,72.559998,63.888573,71.925713
9,2014,100.54857204761905,103.300003,100.61809580952384,98.010002,99.309998,103.739998,96.139999,102.720001
9,2015,112.7976188095238,116.410004,113.012381,108.970001,110.449997,116.889999,107.360001,115.440002
9,2016,110.85714247619046,115.57,110.67333395238094,102.650002,105.720001,116.18,102.529999,114.040001
9,2017,157.60849994999998,164.050003,158.10900039999999,149.990005,151.830002,164.940002,149.16000400000001,163.630005
10,2013,72.10639752173913,75.987144,72.02124256521738,68.349998,69.228569,77.035713,68.325714,75.01571700000001
10,2014,101.69956573913043,108.0,101.64000000000001,95.550003,97.720001,108.040001,95.18,107.209999
10,2015,113.35999999999999,120.529999,112.92454527272729,108.010002,109.620003,121.220001,107.309998,119.449997
10,2016,115.70714309523811,118.25,115.74380866666665,112.709999,113.050003,118.690002,112.279999,117.449997
10,2017,157.81727254545453,169.03999299999998,157.35590718181814,153.630005,153.860001,169.649994,152.46000700000002,166.940002
11,2013,74.94521405,79.438568,74.74542855,73.511429,74.345711,79.761429,73.197144,78.25856800000001
